,acc,epoch,loss,val_acc,val_loss
0,0.90625,0.0,0.3698961067944765,1.0,0.15202448349446057
0,1.0,1.0,0.07520803005900233,1.0,0.04248976120725269
0,1.0,2.0,0.023799373349174795,1.0,0.018417795957066073
0,1.0,3.0,0.011536073667230029,1.0,0.011440598708577396
0,1.0,4.0,0.007756269350647877,1.0,0.008855822263285466
0,1.0,5.0,0.006191669823601805,1.0,0.007154797390103296
0,1.0,6.0,0.00521696013165633,1.0,0.0063063910230993754
0,1.0,7.0,0.004604410973843135,1.0,0.00579635452595534
0,1.0,8.0,0.004057211824692741,1.0,0.00516242527519348
0,1.0,9.0,0.0037105977011378396,1.0,0.004865616251481635
0,1.0,10.0,0.00353836749563919,1.0,0.00460290654445993
0,1.0,11.0,0.0034402331744785896,1.0,0.004309037746861531
0,1.0,12.0,0.003099873138125935,1.0,0.0040441687626298
0,1.0,13.0,0.0029308367011253197,1.0,0.003795780672226041
0,1.0,14.0,0.002757492483942715,1.0,0.00354357319883997
0,1.0,15.0,0.0026204380032140194,1.0,0.00338874164444855
0,1.0,16.0,0.002392674617294635,1.0,0.0030009462381712653
0,1.0,17.0,0.0022166733426274244,1.0,0.003077134626801065
0,1.0,18.0,0.00213518440432375,1.0,0.0029367839946643796
0,1.0,19.0,0.0020187589441774856,1.0,0.00282080522447354
0,1.0,20.0,0.0018660981615539148,1.0,0.002645171657786654
0,1.0,21.0,0.0017803767987060852,1.0,0.002529734265408425
0,1.0,22.0,0.0017445257399230647,1.0,0.0024478153354720754
0,1.0,23.0,0.0015993976820026852,1.0,0.00223409564350726
0,1.0,24.0,0.001606776970584135,1.0,0.00216793217114168
0,1.0,25.0,0.0014872283543808902,1.0,0.002078259261907035
0,1.0,26.0,0.001450206311710595,1.0,0.0020088221412151498
0,1.0,27.0,0.0013732592728046748,1.0,0.00196752395422659
0,1.0,28.0,0.001316727176890655,1.0,0.0018734206561929994
0,1.0,29.0,0.00124039949951106,1.0,0.001751025990233705
0,1.0,30.0,0.0012335615749179349,1.0,0.0017165789147838401
0,1.0,31.0,0.00114997522905465,1.0,0.00169630130694708
0,1.0,32.0,0.00109082990384191,1.0,0.0015115240792510502
0,1.0,33.0,0.0011008421672158398,1.0,0.001522793078038325
0,1.0,34.0,0.0010146104279555852,1.0,0.001504503018804775
0,1.0,35.0,0.00098741933397828,1.0,0.0013756006344919551
0,1.0,36.0,0.0009830581104324151,1.0,0.0013523028799681297
0,1.0,37.0,0.0009328498184913251,1.0,0.00138308684981889
0,1.0,38.0,0.0008758204254263153,1.0,0.0012916231746202698
0,1.0,39.0,0.000894310872172295,1.0,0.0012849392209318
0,1.0,40.0,0.0008282334230897898,1.0,0.00120821278251237
0,1.0,41.0,0.0008233356194977603,1.0,0.001201975790900125
0,1.0,42.0,0.000791847109940095,1.0,0.001157174436957525
0,1.0,43.0,0.00077027804582025,1.0,0.00108485728997035
0,1.0,44.0,0.00074385442167108,1.0,0.0011048887026845048
0,1.0,45.0,0.0007221004019811151,1.0,0.0011064235543016801
0,1.0,46.0,0.00070221693786148,1.0,0.0010076056307297648
0,1.0,47.0,0.00067451873110252,1.0,0.00103390302538168
0,1.0,48.0,0.0006767310689610348,1.0,0.00100569533969969
0,1.0,49.0,0.000643223639417495,1.0,0.0009581136720952999
0,1.0,50.0,0.000605563732096875,1.0,0.0009388523016240852
