,acc,epoch,loss,val_acc,val_loss
0,0.953125,0,0.13695660734083503,1.0,0.007594214752316475
0,1.0,1,0.0010092984994116705,1.0,0.0003061298266402446
0,1.0,2,0.00018894850472861435,1.0,0.00011982937940047123
0,1.0,3,4.560486604532343e-05,1.0,3.2837009712238796e-05
0,1.0,4,5.5852563036751235e-05,1.0,1.1466309842944611e-05
0,1.0,5,1.3054911278231884e-05,1.0,1.2744001196551835e-05
0,1.0,6,1.0581494166217453e-05,1.0,3.2571156680205604e-05
0,1.0,7,1.161105706160015e-05,1.0,8.70949997988646e-06
0,1.0,8,6.582422315659642e-06,1.0,2.3168602638179436e-05
0,1.0,9,5.302910892623913e-06,1.0,3.662638118839823e-05
0,1.0,10,7.472832066923729e-06,1.0,8.988821491584531e-06
0,1.0,11,8.392691995595669e-06,1.0,1.5060479654493975e-05
0,1.0,12,5.014198961816874e-06,1.0,2.7655476515064947e-05
0,1.0,13,4.878216714132577e-06,1.0,3.403631035325816e-05
0,1.0,14,8.14110069313756e-06,1.0,3.5285295780340675e-05
0,1.0,15,5.150171375589707e-06,1.0,6.906516659910267e-06
0,1.0,16,3.825849063332498e-06,1.0,7.014636594249168e-06
0,1.0,17,3.859376533910108e-06,1.0,2.2947560410102597e-05
0,1.0,18,3.894770259194047e-06,1.0,3.0286894798337016e-05
0,1.0,19,4.613714850165707e-06,1.0,2.207835882472864e-05
0,1.0,20,3.3732363249328046e-06,1.0,8.009672455955297e-05
0,1.0,21,5.4127804673953506e-06,1.0,2.4837391492837924e-05
0,1.0,22,3.021200313924055e-06,1.0,1.5082062418514397e-05
0,1.0,23,2.53319149123854e-06,1.0,1.63070715188951e-05
0,1.0,24,2.5685788500595663e-06,1.0,7.278961106749193e-06
0,1.0,25,2.693374540285731e-06,1.0,2.0756132926180726e-05
0,1.0,26,3.4290684141069505e-06,1.0,3.259283403167501e-05
0,1.0,27,2.0097901369808824e-06,1.0,2.8250526383999386e-05
0,1.0,28,3.473807794307504e-06,1.0,6.612220204260666e-06
0,1.0,29,2.8628694508370245e-06,1.0,3.418238429730991e-05
0,1.0,30,2.4437842967017787e-06,1.0,2.2569379325432237e-05
0,1.0,31,2.7697406892457366e-06,1.0,2.7704213152901502e-05
0,1.0,32,2.6076905896843527e-06,1.0,3.1994100027077366e-05
0,1.0,33,2.2482077781660337e-06,1.0,1.1380138630556758e-05
0,1.0,34,3.145989467157051e-06,1.0,6.325387857941678e-06
0,1.0,35,3.728938935410042e-06,1.0,7.547093673565541e-06
0,1.0,36,2.3767273091834795e-06,1.0,1.0958577263409097e-05
0,1.0,37,2.3711386347713415e-06,1.0,3.546453626768198e-06
0,1.0,38,3.062135448317349e-06,1.0,4.55903045804007e-05
0,1.0,39,2.8405232228578825e-06,1.0,6.918410144862719e-05
0,1.0,40,3.1124599217946525e-06,1.0,4.9955323220274295e-06
0,1.0,41,3.2558807276927837e-06,1.0,1.3524827181754517e-05
0,1.0,42,2.2612414340983378e-06,1.0,7.476387054339284e-06
0,1.0,43,3.334093946705252e-06,1.0,9.93822061445826e-06
0,1.0,44,2.0060637098140432e-06,1.0,6.288092436079751e-06
0,1.0,45,2.2426092698424327e-06,1.0,2.9206097451606183e-06
0,1.0,46,1.5888341238223802e-06,1.0,1.1033413102268241e-05
0,1.0,47,1.475212911827839e-06,1.0,6.0831144992334885e-06
0,1.0,48,1.7266682448280335e-06,1.0,2.3618288196303183e-06
0,1.0,49,2.143891720152169e-06,1.0,4.9074384151026607e-05
0,1.0,50,2.210948764513887e-06,1.0,2.9764840974166873e-06
0,1.0,51,1.927831561943094e-06,1.0,3.8258438053162536e-06
0,1.0,52,2.0954594788236136e-06,1.0,3.237575492676115e-05
0,1.0,53,1.719217095796921e-06,1.0,5.05998137896313e-05
0,1.0,54,2.7957827626323706e-06,1.0,3.0174594485288253e-06
0,1.0,55,1.2945370144734625e-06,1.0,2.980215640491224e-06
0,1.0,56,1.6950029646523035e-06,1.0,1.4462908438872546e-05
0,1.0,57,1.4044327087958663e-06,1.0,2.5721856104610197e-05
0,1.0,58,1.6502986852628965e-06,1.0,2.548066845520225e-05
0,1.0,59,1.6428501226073422e-06,1.0,2.2579221877094824e-05
0,1.0,60,1.8272477575465018e-06,1.0,3.187609945598524e-05
0,1.0,61,1.434234818020741e-06,1.0,3.7401277950266376e-05
0,1.0,62,1.661475465652984e-06,1.0,9.763326715983567e-06
0,1.0,63,1.5441298160112638e-06,1.0,6.079422746552154e-06
0,1.0,64,1.7750954270923103e-06,1.0,2.7380631877349515e-06
0,1.0,65,1.1660146981284925e-06,1.0,2.708268311835127e-06
0,1.0,66,1.4863878874393777e-06,1.0,2.357047856094141e-05
0,1.0,67,1.1660143854896887e-06,1.0,2.160661438210809e-06
0,1.0,68,1.3764902462298778e-06,1.0,2.3724103812128305e-05
0,1.0,69,1.9725295885564265e-06,1.0,2.8088435328754713e-06
0,1.0,70,2.0302627774526627e-06,1.0,3.803469667218451e-06
0,1.0,71,1.3168884436254302e-06,1.0,5.781420441053342e-06
0,1.0,72,1.5869617016051052e-06,1.0,8.146771506289952e-06
