,acc,epoch,loss,val_acc,val_loss
0,1.0,0,0.32181262597441673,1.0,0.14732316136360168
0,1.0,1,0.07307145185768604,1.0,0.0509174894541502
0,1.0,2,0.024243406020104885,1.0,0.02729665581136942
0,1.0,3,0.011268357979133725,1.0,0.016439500264823437
0,1.0,4,0.008650633739307523,1.0,0.011403629090636969
0,1.0,5,0.006159329670481384,1.0,0.010999156162142754
0,1.0,6,0.0057452976470813155,1.0,0.009793033357709646
0,1.0,7,0.004690774076152593,1.0,0.008452886249870062
0,1.0,8,0.0042925141751766205,1.0,0.00943880109116435
0,1.0,9,0.0037681295070797205,1.0,0.007117720087990165
0,1.0,10,0.00393554090987891,1.0,0.008361350046470761
0,1.0,11,0.00378241203725338,1.0,0.007408257108181715
0,1.0,12,0.002608753042295575,1.0,0.008968308102339506
0,1.0,13,0.003457536455243826,1.0,0.007667548023164272
0,1.0,14,0.0023177231778390706,1.0,0.005727371899411082
0,1.0,15,0.00269028777256608,1.0,0.0050741753075271845
0,1.0,16,0.002266565279569477,1.0,0.00563485617749393
0,1.0,17,0.0020362507784739137,1.0,0.005163168767467141
0,1.0,18,0.0020900068047922105,1.0,0.005025341175496578
0,1.0,19,0.0019821044988930225,1.0,0.00562094827182591
0,1.0,20,0.0018978411972057074,1.0,0.003243151237256825
0,1.0,21,0.0018944813054986298,1.0,0.00391710817348212
0,1.0,22,0.0016107373230624944,1.0,0.00440365239046514
0,1.0,23,0.0016319808491971344,1.0,0.002236920001450926
0,1.0,24,0.001329198945313692,1.0,0.0037176214391365647
0,1.0,25,0.0011680284223984927,1.0,0.0033831896726042032
0,1.0,26,0.001157669466920197,1.0,0.004043243243359029
0,1.0,27,0.0010737995326053351,1.0,0.0033746531698852777
0,1.0,28,0.0010996688797604293,1.0,0.0031916595762595534
0,1.0,29,0.0012164660729467869,1.0,0.00457022525370121
0,1.0,30,0.001067121047526598,1.0,0.0029080845415592194
0,1.0,31,0.0011515240476001054,1.0,0.00275445100851357
0,1.0,32,0.0008955029625212774,1.0,0.002749099279753864
0,1.0,33,0.0009624121885281056,1.0,0.002929647220298648
0,1.0,34,0.001036566769471392,1.0,0.003047894686460495
0,1.0,35,0.0009164043731288984,1.0,0.0038079568184912205
0,1.0,36,0.000789141675340943,1.0,0.0019700020784512162
0,1.0,37,0.0009628823172533885,1.0,0.0029896076302975416
0,1.0,38,0.0006012899975758046,1.0,0.002607179223559797
0,1.0,39,0.0008807976410025731,1.0,0.002606736379675567
0,1.0,40,0.0006459935248130932,1.0,0.0024314330657944083
0,1.0,41,0.0006741287943441421,1.0,0.002752256579697132
0,1.0,42,0.0007872921414673328,1.0,0.0019571021548472345
0,1.0,43,0.0006556808948516846,1.0,0.002302283770404756
0,1.0,44,0.0006726389547111467,1.0,0.0014098440879024565
0,1.0,45,0.0006628387927776203,1.0,0.0017724743229337037
0,1.0,46,0.0006044721521902829,1.0,0.0014840819640085101
0,1.0,47,0.0005808513597003184,1.0,0.0018304444965906441
0,1.0,48,0.0005027167571824975,1.0,0.0019829825032502413
0,1.0,49,0.0006840122659923509,1.0,0.0030943634919822216
0,1.0,50,0.0007103422831278294,1.0,0.0015422746655531228
0,1.0,51,0.00043006530177081004,1.0,0.002049244591034949
0,1.0,52,0.0004167954466538504,1.0,0.0018613372230902314
0,1.0,53,0.00046213140012696385,1.0,0.00192826462443918
0,1.0,54,0.0003909484003088437,1.0,0.0015914234099909663
0,1.0,55,0.00042284456867491826,1.0,0.0018881185096688569
0,1.0,56,0.0003270387569500599,1.0,0.0018596661975607276
0,1.0,57,0.0004847164309467189,1.0,0.001327185076661408
0,1.0,58,0.00038816637243144214,1.0,0.001552706933580339
0,1.0,59,0.00037268012965796515,1.0,0.002083245082758367
0,1.0,60,0.0004378548292152118,1.0,0.0010858508758246899
0,1.0,61,0.00040558911859989166,1.0,0.0009116213186644018
0,1.0,62,0.0003424088208703324,1.0,0.0018138622399419546
0,1.0,63,0.00042061485874000937,1.0,0.0017471248283982277
0,1.0,64,0.0003550271940184757,1.0,0.0012223288067616522
0,1.0,65,0.00035010492865694687,1.0,0.0014480370446108282
0,1.0,66,0.00029104795976309106,1.0,0.0017611163202673197
0,1.0,67,0.00027963038155576214,1.0,0.0016805174527689815
0,1.0,68,0.00036433906279853545,1.0,0.0011872452159877867
0,1.0,69,0.0003866664628731087,1.0,0.0011418339854571968
0,1.0,70,0.00032472555903950706,1.0,0.001485751650761813
0,1.0,71,0.00022560867364518344,1.0,0.0011026693682651967
0,1.0,72,0.0002653225928952452,1.0,0.0010243075666949153
0,1.0,73,0.0003934830347134266,1.0,0.0007703648589085788
0,1.0,74,0.00034414355468470603,1.0,0.001895995403174311
0,1.0,75,0.00019757315749302506,1.0,0.0013326393091119826
0,1.0,76,0.0002370341717323754,1.0,0.0013058629119768739
0,1.0,77,0.0003197275218553841,1.0,0.0007637909438926727
0,1.0,78,0.00022316960530588403,1.0,0.001162700413260609
0,1.0,79,0.0002092825416184496,1.0,0.0007773683464620262
0,1.0,80,0.00022909184554009698,1.0,0.0011179998109582812
0,1.0,81,0.00028537109028548,1.0,0.001561320445034653
0,1.0,82,0.0002864367052097805,1.0,0.0009303521073888987
0,1.0,83,0.00016803929611342028,1.0,0.001146956637967378
0,1.0,84,0.0002155512229364831,1.0,0.0012582952622324228
0,1.0,85,0.00021800764079671353,1.0,0.0010258760885335505
0,1.0,86,0.00020960357505828142,1.0,0.0004219957918394357
0,1.0,87,0.00018281909797224216,1.0,0.0007199624378699809
0,1.0,88,0.0002728854742599651,1.0,0.0008585905015934259
0,1.0,89,0.0002506155324226711,1.0,0.0007025258091744035
0,1.0,90,0.0002160975564038381,1.0,0.0011067912564612925
0,1.0,91,0.00021710492728743702,1.0,0.0005647917278110981
0,1.0,92,0.00020592964938259684,1.0,0.0007528567512053996
0,1.0,93,0.00014603991803596728,1.0,0.0010653563658706844
0,1.0,94,0.0001785517542884918,1.0,0.0010207557934336364
0,1.0,95,0.0002213951556768734,1.0,0.0010280130663886666
0,1.0,96,0.00019708041691046674,1.0,0.00033519907447043806
0,1.0,97,0.00015697864546382334,1.0,0.0006970221002120525
0,1.0,98,0.00020503879386524204,1.0,0.0005975445237709209
0,1.0,99,0.00020029872393934056,1.0,0.0009353131026728079
